transaction_id,transaction_date,customer_id,card_id,region,card_type,channel,merchant_category,transaction_amount_ngn,status,is_successful,transaction_month
TXN300037,2026-03-05,CUST10214,CARD20558,Abuja,Classic,POS,Travel,29281.85,Successful,1,2026-03
TXN300038,2026-05-11,CUST10200,CARD20372,Port Harcourt,Platinum,Online,Dining,11848.04,Successful,1,2026-05
TXN300039,2026-02-20,CUST10433,CARD20495,Port Harcourt,Classic,Online,Fuel,1481.14,Successful,1,2026-02
TXN300040,2026-05-15,CUST10079,CARD20045,Lagos,Gold,POS,Utilities,12635.79,Successful,1,2026-05
TXN300041,2026-01-21,CUST10401,CARD20401,Ibadan,Classic,POS,Dining,4895.65,Successful,1,2026-01
TXN300042,2026-03-14,CUST10444,CARD20247,Kano,Gold,Online,Entertainment,2814.27,Successful,1,2026-03
TXN300043,2026-06-16,CUST10343,CARD20597,Lagos,Classic,POS,Travel,9408.32,Successful,1,2026-06
TXN300044,2026-01-18,CUST10344,CARD20450,Ibadan,Classic,POS,Travel,2390.72,Successful,1,2026-01
TXN300045,2026-05-12,CUST10173,CARD20485,Lagos,Gold,Online,Fuel,18370.8,Successful,1,2026-05
TXN300046,2026-03-30,CUST10069,CARD20018,Lagos,Classic,Online,Travel,14540.65,Successful,1,2026-03
TXN300047,2026-03-01,CUST10416,CARD20289,Lagos,Gold,Online,Fuel,7560.29,Successful,1,2026-03
TXN300048,2026-01-14,CUST10428,CARD20414,Lagos,Platinum,POS,Utilities,5218.35,Successful,1,2026-01
TXN300049,2026-01-09,CUST10449,CARD20235,Ibadan,Classic,Online,Groceries,6993.39,Successful,1,2026-01
TXN300050,2026-03-31,CUST10087,CARD20416,Lagos,Classic,Online,Fuel,3609.3,Successful,1,2026-03
TXN300051,2026-02-22,CUST10101,CARD20499,Lagos,Classic,POS,Fuel,7618.73,Successful,1,2026-02
TXN300052,2026-05-10,CUST10008,CARD20115,Lagos,Gold,Online,Dining,832.5,Successful,1,2026-05
TXN300053,2026-03-25,CUST10333,CARD20234,Lagos,Classic,POS,Travel,8699.04,Successful,1,2026-03
TXN300054,2026-04-02,CUST10200,CARD20540,Lagos,Classic,POS,Utilities,8878.39,Successful,1,2026-04
TXN300055,2026-04-21,CUST10087,CARD20011,Port Harcourt,Classic,POS,Groceries,15932.55,Successful,1,2026-04
TXN300056,2026-06-21,CUST10043,CARD20206,Lagos,Classic,POS,Retail,10299.49,Successful,1,2026-06
TXN300057,2026-01-08,CUST10385,CARD20247,Ibadan,Platinum,POS,Entertainment,17709.7,Successful,1,2026-01
TXN300058,2026-06-24,CUST10109,CARD20559,Ibadan,Classic,Online,Fuel,12551.87,Successful,1,2026-06
TXN300059,2026-02-04,CUST10435,CARD20127,Lagos,Gold,POS,Retail,18568.45,Successful,1,2026-02
TXN300060,2026-03-22,CUST10408,CARD20147,Ibadan,Gold,ATM,Travel,65982.18,Successful,1,2026-03
TXN300061,2026-06-13,CUST10152,CARD20118,Lagos,Gold,Online,Entertainment,11339.12,Successful,1,2026-06
TXN300062,2026-02-19,CUST10017,CARD20382,Lagos,Classic,POS,Fuel,9388.3,Successful,1,2026-02
TXN300063,2026-04-14,CUST10133,CARD20412,Lagos,Gold,POS,Retail,20944.66,Successful,1,2026-04
TXN300064,2026-05-12,CUST10148,CARD20584,Lagos,Platinum,Online,Dining,5571.47,Successful,1,2026-05
TXN300065,2026-01-02,CUST10277,CARD20363,Abuja,Classic,Online,Retail,7366.15,Successful,1,2026-01
TXN300066,2026-05-14,CUST10232,CARD20509,Ibadan,Classic,POS,Entertainment,11347.99,Successful,1,2026-05
TXN300067,2026-02-23,CUST10314,CARD20137,Lagos,Classic,POS,Dining,8586.38,Successful,1,2026-02
TXN300068,2026-04-16,CUST10415,CARD20175,Port Harcourt,Classic,Online,Entertainment,8555.51,Successful,1,2026-04
TXN300069,2026-01-04,CUST10366,CARD20289,Lagos,Classic,POS,Groceries,16644.3,Successful,1,2026-01
TXN300070,2026-02-23,CUST10228,CARD20481,Port Harcourt,Gold,Online,Travel,2086.32,Successful,1,2026-02
TXN300071,2026-05-26,CUST10139,CARD20019,Lagos,Classic,Online,Utilities,41223.64,Successful,1,2026-05
TXN300072,2026-02-13,CUST10436,CARD20195,Lagos,Classic,POS,Retail,11952.79,Reversed,0,2026-02
TXN300073,2026-06-11,CUST10399,CARD20330,Lagos,Gold,POS,Fuel,5882.82,Successful,1,2026-06
TXN300074,2026-01-14,CUST10211,CARD20175,Lagos,Classic,POS,Entertainment,29805.32,Successful,1,2026-01
TXN300075,2026-04-05,CUST10391,CARD20449,Abuja,Gold,Online,Entertainment,8802.82,Successful,1,2026-04
TXN300076,2026-02-17,CUST10028,CARD20354,Ibadan,Classic,POS,Travel,8990.46,Successful,1,2026-02
TXN300077,2026-01-15,CUST10051,CARD20499,Lagos,Platinum,POS,Retail,6824.25,Successful,1,2026-01
TXN300078,2026-02-09,CUST10442,CARD20141,Port Harcourt,Classic,Online,Fuel,26216.78,Successful,1,2026-02
TXN300079,2026-03-23,CUST10261,CARD20093,Port Harcourt,Gold,POS,Fuel,8042.69,Successful,1,2026-03
TXN300080,2026-04-21,CUST10261,CARD20239,Ibadan,Gold,Online,Entertainment,5183.66,Successful,1,2026-04
TXN300081,2026-02-22,CUST10350,CARD20205,Lagos,Classic,Online,Utilities,18016.05,Successful,1,2026-02
TXN300082,2026-01-24,CUST10352,CARD20560,Abuja,Classic,POS,Entertainment,20876.18,Successful,1,2026-01
TXN300083,2026-06-03,CUST10008,CARD20433,Kano,Gold,ATM,Utilities,29298.36,Successful,1,2026-06
TXN300084,2026-05-04,CUST10320,CARD20245,Port Harcourt,Classic,Online,Entertainment,13451.95,Successful,1,2026-05
TXN300085,2026-02-10,CUST10138,CARD20317,Lagos,Platinum,POS,Entertainment,20272.35,Successful,1,2026-02
TXN300086,2026-06-06,CUST10038,CARD20295,Lagos,Platinum,POS,Fuel,6585.31,Successful,1,2026-06
TXN300087,2026-01-15,CUST10111,CARD20282,Lagos,Classic,POS,Utilities,18409.82,Successful,1,2026-01
TXN300088,2026-02-14,CUST10368,CARD20017,Abuja,Classic,Online,Fuel,14676.72,Successful,1,2026-02
TXN300089,2026-03-06,CUST10220,CARD20071,Port Harcourt,Classic,POS,Retail,12386.57,Reversed,0,2026-03
TXN300090,2026-03-30,CUST10337,CARD20269,Lagos,Classic,ATM,Entertainment,2331.58,Successful,1,2026-03
TXN300091,2026-03-12,CUST10223,CARD20325,Abuja,Gold,Online,Groceries,5939.98,Successful,1,2026-03
TXN300092,2026-01-09,CUST10136,CARD20305,Abuja,Gold,POS,Utilities,7812.09,Successful,1,2026-01
TXN300093,2026-03-29,CUST10256,CARD20451,Abuja,Classic,Online,Dining,12397.83,Successful,1,2026-03
TXN300094,2026-05-09,CUST10360,CARD20007,Port Harcourt,Classic,POS,Dining,55303.4,Successful,1,2026-05
TXN300095,2026-05-16,CUST10409,CARD20314,Ibadan,Classic,Online,Dining,16113.22,Successful,1,2026-05
TXN300096,2026-03-04,CUST10329,CARD20103,Lagos,Classic,Online,Groceries,4238.6,Successful,1,2026-03
TXN300097,2026-05-19,CUST10450,CARD20193,Ibadan,Gold,POS,Fuel,5518.19,Successful,1,2026-05
TXN300098,2026-03-22,CUST10434,CARD20574,Lagos,Classic,POS,Fuel,24634.2,Successful,1,2026-03
TXN300099,2026-05-16,CUST10049,CARD20529,Lagos,Gold,Online,Travel,5327.43,Successful,1,2026-05
TXN300100,2026-06-12,CUST10292,CARD20171,Lagos,Gold,Online,Dining,18305.62,Successful,1,2026-06
TXN300101,2026-06-12,CUST10382,CARD20537,Lagos,Gold,ATM,Dining,8899.74,Successful,1,2026-06
TXN300102,2026-02-02,CUST10324,CARD20251,Lagos,Classic,POS,Fuel,7093.18,Successful,1,2026-02
TXN300103,2026-05-03,CUST10078,CARD20387,Lagos,Gold,POS,Dining,5392.41,Successful,1,2026-05
TXN300104,2026-01-05,CUST10105,CARD20207,Ibadan,Gold,POS,Fuel,708.29,Successful,1,2026-01
TXN300105,2026-02-10,CUST10169,CARD20541,Lagos,Gold,Online,Entertainment,12478.98,Reversed,0,2026-02
TXN300106,2026-01-28,CUST10217,CARD20416,Port Harcourt,Classic,POS,Entertainment,3492.23,Successful,1,2026-01
TXN300107,2026-05-15,CUST10378,CARD20380,Lagos,Classic,POS,Fuel,2605.31,Successful,1,2026-05
TXN300108,2026-03-13,CUST10119,CARD20144,Kano,Gold,Online,Utilities,9879.53,Successful,1,2026-03
TXN300109,2026-01-12,CUST10190,CARD20025,Port Harcourt,Classic,Online,Fuel,18465.04,Successful,1,2026-01
TXN300110,2026-06-11,CUST10255,CARD20073,Lagos,Classic,POS,Retail,2085.06,Declined,0,2026-06
TXN300111,2026-02-02,CUST10370,CARD20093,Port Harcourt,Platinum,POS,Retail,18082.8,Successful,1,2026-02
TXN300112,2026-02-17,CUST10266,CARD20505,Abuja,Classic,Online,Retail,3934.09,Successful,1,2026-02
TXN300113,2026-05-31,CUST10149,CARD20598,Port Harcourt,Classic,POS,Retail,13617.96,Successful,1,2026-05
TXN300114,2026-03-03,CUST10164,CARD20336,Abuja,Classic,POS,Groceries,12876.5,Successful,1,2026-03
TXN300115,2026-02-06,CUST10140,CARD20425,Port Harcourt,Gold,POS,Travel,6868.39,Successful,1,2026-02
TXN300116,2026-04-09,CUST10347,CARD20499,Ibadan,Classic,Online,Travel,8299.07,Successful,1,2026-04
TXN300117,2026-06-21,CUST10258,CARD20364,Lagos,Gold,Online,Fuel,5901.96,Successful,1,2026-06
TXN300118,2026-04-14,CUST10374,CARD20199,Lagos,Classic,POS,Entertainment,10004.9,Successful,1,2026-04
TXN300119,2026-02-04,CUST10269,CARD20413,Ibadan,Classic,POS,Dining,9934.46,Successful,1,2026-02
TXN300120,2026-04-11,CUST10181,CARD20339,Lagos,Gold,ATM,Retail,3869.54,Successful,1,2026-04
TXN300121,2026-06-24,CUST10160,CARD20429,Abuja,Classic,ATM,Travel,2734.58,Successful,1,2026-06
TXN300122,2026-05-11,CUST10351,CARD20139,Lagos,Platinum,Online,Travel,18154.67,Successful,1,2026-05
TXN300123,2026-01-01,CUST10400,CARD20542,Abuja,Classic,ATM,Retail,9539.62,Successful,1,2026-01
TXN300124,2026-01-05,CUST10288,CARD20057,Kano,Classic,Online,Entertainment,16250.34,Successful,1,2026-01
TXN300125,2026-05-22,CUST10288,CARD20232,Lagos,Classic,Online,Groceries,4739.45,Successful,1,2026-05
TXN300126,2026-04-13,CUST10380,CARD20435,Lagos,Classic,POS,Groceries,4189.97,Successful,1,2026-04
TXN300127,2026-01-27,CUST10226,CARD20384,Port Harcourt,Platinum,POS,Travel,3606.63,Declined,0,2026-01
TXN300128,2026-05-17,CUST10011,CARD20560,Ibadan,Platinum,POS,Groceries,7012.11,Successful,1,2026-05
TXN300129,2026-01-15,CUST10010,CARD20194,Lagos,Classic,Online,Utilities,9759.12,Reversed,0,2026-01
TXN300130,2026-03-31,CUST10271,CARD20534,Lagos,Gold,ATM,Retail,5244.53,Successful,1,2026-03
TXN300131,2026-02-11,CUST10273,CARD20518,Kano,Gold,Online,Entertainment,28335.19,Successful,1,2026-02
TXN300132,2026-05-04,CUST10424,CARD20185,Port Harcourt,Classic,POS,Travel,4847.81,Successful,1,2026-05
TXN300133,2026-06-28,CUST10402,CARD20292,Lagos,Classic,POS,Retail,9887.6,Successful,1,2026-06
TXN300134,2026-03-04,CUST10183,CARD20335,Lagos,Platinum,POS,Groceries,3998.06,Successful,1,2026-03
TXN300135,2026-04-06,CUST10153,CARD20116,Abuja,Platinum,POS,Retail,4729.17,Successful,1,2026-04
TXN300136,2026-02-21,CUST10315,CARD20049,Lagos,Platinum,Online,Groceries,7562.29,Successful,1,2026-02
TXN300137,2026-04-06,CUST10334,CARD20082,Lagos,Gold,ATM,Entertainment,4162.58,Successful,1,2026-04
TXN300138,2026-05-12,CUST10124,CARD20333,Ibadan,Gold,POS,Groceries,8703.95,Declined,0,2026-05
TXN300139,2026-05-31,CUST10114,CARD20557,Lagos,Classic,POS,Retail,11524.16,Successful,1,2026-05
TXN300140,2026-05-23,CUST10278,CARD20335,Port Harcourt,Classic,Online,Entertainment,19432.45,Reversed,0,2026-05
TXN300141,2026-06-20,CUST10414,CARD20532,Lagos,Classic,POS,Groceries,3415.49,Successful,1,2026-06
TXN300142,2026-01-29,CUST10213,CARD20221,Port Harcourt,Gold,ATM,Utilities,9267.55,Successful,1,2026-01
TXN300143,2026-02-05,CUST10172,CARD20323,Port Harcourt,Gold,POS,Fuel,7711.3,Successful,1,2026-02
TXN300144,2026-01-13,CUST10288,CARD20003,Lagos,Gold,POS,Retail,1847.25,Successful,1,2026-01
TXN300145,2026-06-09,CUST10435,CARD20206,Abuja,Platinum,POS,Fuel,3284.5,Successful,1,2026-06
TXN300146,2026-03-12,CUST10174,CARD20040,Lagos,Platinum,POS,Retail,11848.52,Successful,1,2026-03
TXN300147,2026-03-27,CUST10113,CARD20059,Ibadan,Platinum,Online,Groceries,2745.93,Successful,1,2026-03
TXN300148,2026-01-28,CUST10376,CARD20574,Ibadan,Classic,POS,Groceries,7640.85,Successful,1,2026-01
TXN300149,2026-03-07,CUST10405,CARD20507,Lagos,Gold,POS,Entertainment,1483.33,Successful,1,2026-03
TXN300150,2026-06-19,CUST10122,CARD20572,Abuja,Gold,POS,Travel,7462.44,Successful,1,2026-06
TXN300151,2026-02-14,CUST10032,CARD20122,Lagos,Classic,POS,Utilities,1567.43,Successful,1,2026-02
TXN300152,2026-03-03,CUST10222,CARD20479,Port Harcourt,Platinum,POS,Travel,4995.72,Successful,1,2026-03
TXN300153,2026-05-14,CUST10119,CARD20096,Lagos,Platinum,Online,Fuel,5709.06,Successful,1,2026-05
TXN300154,2026-01-28,CUST10039,CARD20414,Lagos,Classic,Online,Groceries,8941.16,Successful,1,2026-01
TXN300155,2026-01-28,CUST10268,CARD20235,Abuja,Classic,ATM,Travel,6620.72,Successful,1,2026-01
TXN300156,2026-04-18,CUST10233,CARD20062,Lagos,Gold,POS,Groceries,3014.77,Reversed,0,2026-04
TXN300157,2026-02-13,CUST10431,CARD20256,Port Harcourt,Gold,POS,Retail,3060.18,Successful,1,2026-02
TXN300158,2026-03-25,CUST10018,CARD20561,Lagos,Platinum,POS,Travel,2227.67,Successful,1,2026-03
TXN300159,2026-01-30,CUST10149,CARD20348,Port Harcourt,Classic,POS,Fuel,9558.52,Successful,1,2026-01
TXN300160,2026-03-16,CUST10397,CARD20124,Lagos,Classic,Online,Entertainment,9226.94,Successful,1,2026-03
TXN300161,2026-05-08,CUST10149,CARD20482,Lagos,Classic,Online,Travel,13842.88,Successful,1,2026-05
TXN300162,2026-04-02,CUST10126,CARD20317,Port Harcourt,Classic,Online,Groceries,5431.04,Successful,1,2026-04
TXN300163,2026-05-09,CUST10392,CARD20504,Kano,Classic,POS,Dining,2023.38,Successful,1,2026-05
TXN300164,2026-05-01,CUST10302,CARD20048,Port Harcourt,Platinum,POS,Dining,6293.05,Successful,1,2026-05
TXN300165,2026-01-27,CUST10360,CARD20409,Lagos,Classic,ATM,Entertainment,8175.01,Successful,1,2026-01
TXN300166,2026-05-01,CUST10238,CARD20136,Lagos,Classic,POS,Entertainment,3191.35,Successful,1,2026-05
TXN300167,2026-04-26,CUST10135,CARD20201,Ibadan,Classic,Online,Utilities,3443.1,Successful,1,2026-04
TXN300168,2026-01-03,CUST10151,CARD20250,Abuja,Classic,ATM,Entertainment,11622.97,Successful,1,2026-01
TXN300169,2026-04-13,CUST10236,CARD20314,Lagos,Gold,Online,Groceries,8782.33,Successful,1,2026-04
TXN300170,2026-06-04,CUST10224,CARD20368,Ibadan,Gold,Online,Retail,20056.24,Successful,1,2026-06
TXN300171,2026-05-17,CUST10203,CARD20429,Ibadan,Gold,POS,Travel,32134.34,Successful,1,2026-05
TXN300172,2026-03-03,CUST10256,CARD20480,Kano,Classic,POS,Entertainment,2435.12,Successful,1,2026-03
TXN300173,2026-06-14,CUST10086,CARD20314,Kano,Classic,POS,Dining,5795.9,Successful,1,2026-06
TXN300174,2026-02-20,CUST10150,CARD20500,Ibadan,Classic,Online,Retail,8945.52,Successful,1,2026-02
TXN300175,2026-06-21,CUST10235,CARD20355,Lagos,Classic,POS,Groceries,10838.49,Successful,1,2026-06
TXN300176,2026-06-01,CUST10345,CARD20485,Lagos,Gold,Online,Retail,18264.32,Successful,1,2026-06
TXN300177,2026-02-28,CUST10022,CARD20211,Abuja,Classic,Online,Groceries,14514.45,Successful,1,2026-02
TXN300178,2026-04-28,CUST10348,CARD20044,Abuja,Gold,Online,Utilities,20145.66,Successful,1,2026-04
TXN300179,2026-06-09,CUST10285,CARD20541,Abuja,Classic,POS,Travel,8510.77,Successful,1,2026-06
TXN300180,2026-04-06,CUST10269,CARD20571,Lagos,Gold,POS,Retail,4901.01,Successful,1,2026-04
TXN300181,2026-06-29,CUST10258,CARD20583,Abuja,Platinum,Online,Travel,38559.79,Successful,1,2026-06
TXN300182,2026-04-23,CUST10029,CARD20092,Abuja,Gold,Online,Retail,9160.54,Successful,1,2026-04
TXN300183,2026-03-03,CUST10213,CARD20265,Lagos,Gold,Online,Groceries,6677.65,Successful,1,2026-03
TXN300184,2026-02-21,CUST10436,CARD20220,Lagos,Platinum,POS,Groceries,3436.55,Successful,1,2026-02
TXN300185,2026-01-12,CUST10283,CARD20442,Abuja,Gold,Online,Retail,9205.67,Successful,1,2026-01
TXN300186,2026-02-08,CUST10050,CARD20401,Port Harcourt,Classic,Online,Utilities,18098.64,Successful,1,2026-02
TXN300187,2026-05-10,CUST10095,CARD20400,Lagos,Classic,POS,Groceries,5429.64,Successful,1,2026-05
TXN300188,2026-05-11,CUST10407,CARD20576,Abuja,Gold,Online,Fuel,7282.99,Successful,1,2026-05
TXN300189,2026-04-23,CUST10088,CARD20490,Port Harcourt,Gold,Online,Fuel,9890.45,Successful,1,2026-04
TXN300190,2026-04-11,CUST10044,CARD20485,Abuja,Classic,POS,Travel,11822.26,Successful,1,2026-04
TXN300191,2026-04-23,CUST10278,CARD20470,Lagos,Classic,POS,Entertainment,6582.25,Successful,1,2026-04
TXN300192,2026-03-22,CUST10171,CARD20574,Abuja,Platinum,Online,Fuel,5914.21,Successful,1,2026-03
TXN300193,2026-04-23,CUST10421,CARD20445,Lagos,Classic,POS,Fuel,5385.1,Successful,1,2026-04
TXN300194,2026-01-02,CUST10189,CARD20269,Kano,Classic,Online,Utilities,3343.33,Successful,1,2026-01
TXN300195,2026-05-10,CUST10353,CARD20267,Lagos,Classic,Online,Utilities,4375.86,Successful,1,2026-05
TXN300196,2026-02-23,CUST10184,CARD20054,Port Harcourt,Gold,ATM,Entertainment,4282.73,Successful,1,2026-02
TXN300197,2026-03-28,CUST10003,CARD20528,Lagos,Classic,Online,Dining,2359.63,Successful,1,2026-03
TXN300198,2026-05-09,CUST10191,CARD20520,Abuja,Gold,POS,Entertainment,17932.24,Successful,1,2026-05
TXN300199,2026-05-27,CUST10118,CARD20059,Abuja,Classic,POS,Dining,10803.81,Declined,0,2026-05
TXN300200,2026-05-06,CUST10019,CARD20040,Lagos,Gold,Online,Utilities,9079.57,Successful,1,2026-05
TXN300201,2026-05-10,CUST10023,CARD20237,Abuja,Gold,POS,Dining,23008.95,Successful,1,2026-05
TXN300202,2026-02-22,CUST10413,CARD20386,Lagos,Classic,Online,Utilities,14389.84,Successful,1,2026-02
TXN300203,2026-06-21,CUST10030,CARD20300,Lagos,Classic,Online,Dining,4308.34,Successful,1,2026-06
TXN300204,2026-06-09,CUST10295,CARD20395,Port Harcourt,Classic,POS,Groceries,20717.06,Successful,1,2026-06
TXN300205,2026-06-09,CUST10108,CARD20207,Lagos,Classic,POS,Utilities,17637.97,Successful,1,2026-06
TXN300206,2026-03-09,CUST10367,CARD20336,Ibadan,Gold,Online,Entertainment,3313.18,Successful,1,2026-03
TXN300207,2026-05-03,CUST10281,CARD20593,Port Harcourt,Classic,Online,Travel,16684.32,Successful,1,2026-05
TXN300208,2026-05-25,CUST10128,CARD20514,Abuja,Gold,POS,Travel,5575.85,Successful,1,2026-05
TXN300209,2026-02-07,CUST10229,CARD20178,Lagos,Classic,ATM,Utilities,17992.65,Declined,0,2026-02
TXN300210,2026-01-24,CUST10111,CARD20396,Abuja,Classic,Online,Fuel,6183.52,Successful,1,2026-01
TXN300211,2026-03-10,CUST10136,CARD20371,Port Harcourt,Classic,ATM,Travel,5288.73,Successful,1,2026-03
TXN300212,2026-04-26,CUST10362,CARD20318,Lagos,Gold,POS,Entertainment,5743.25,Successful,1,2026-04
TXN300213,2026-04-08,CUST10186,CARD20369,Ibadan,Classic,POS,Fuel,3722.93,Successful,1,2026-04
TXN300214,2026-05-19,CUST10144,CARD20384,Lagos,Gold,Online,Travel,2479.26,Successful,1,2026-05
TXN300215,2026-05-24,CUST10072,CARD20062,Ibadan,Classic,Online,Retail,1097.51,Successful,1,2026-05
TXN300216,2026-04-07,CUST10129,CARD20505,Lagos,Classic,POS,Retail,3485.13,Successful,1,2026-04
TXN300217,2026-05-04,CUST10364,CARD20239,Ibadan,Gold,Online,Utilities,66469.51,Successful,1,2026-05
TXN300218,2026-03-11,CUST10261,CARD20195,Abuja,Gold,Online,Entertainment,11879.97,Successful,1,2026-03
TXN300219,2026-04-03,CUST10003,CARD20222,Lagos,Classic,POS,Entertainment,36003.74,Successful,1,2026-04
TXN300220,2026-01-03,CUST10449,CARD20061,Lagos,Gold,Online,Travel,6281.97,Successful,1,2026-01
TXN300221,2026-05-28,CUST10388,CARD20129,Abuja,Classic,Online,Groceries,5571.07,Successful,1,2026-05
TXN300222,2026-06-13,CUST10104,CARD20156,Kano,Gold,POS,Fuel,31991.72,Successful,1,2026-06
TXN300223,2026-05-27,CUST10224,CARD20378,Lagos,Platinum,POS,Travel,10944.69,Successful,1,2026-05
TXN300224,2026-03-31,CUST10320,CARD20586,Lagos,Platinum,Online,Utilities,3773.58,Successful,1,2026-03
TXN300225,2026-05-27,CUST10362,CARD20437,Abuja,Gold,POS,Fuel,13444.62,Successful,1,2026-05
TXN300226,2026-05-28,CUST10354,CARD20207,Abuja,Classic,POS,Dining,22042.06,Successful,1,2026-05
TXN300227,2026-04-06,CUST10010,CARD20388,Abuja,Gold,ATM,Utilities,2585.57,Successful,1,2026-04
TXN300228,2026-02-21,CUST10405,CARD20480,Port Harcourt,Classic,Online,Travel,11751.39,Successful,1,2026-02
TXN300229,2026-06-10,CUST10384,CARD20340,Lagos,Classic,Online,Groceries,2726.08,Successful,1,2026-06
TXN300230,2026-06-17,CUST10302,CARD20340,Kano,Classic,Online,Dining,21107.93,Successful,1,2026-06
TXN300231,2026-05-08,CUST10231,CARD20204,Abuja,Platinum,POS,Utilities,9745.48,Successful,1,2026-05
TXN300232,2026-02-08,CUST10219,CARD20161,Lagos,Platinum,POS,Travel,13409.64,Successful,1,2026-02
TXN300233,2026-03-23,CUST10411,CARD20540,Port Harcourt,Classic,POS,Retail,6809.3,Successful,1,2026-03
TXN300234,2026-04-14,CUST10066,CARD20392,Port Harcourt,Gold,POS,Entertainment,1948.31,Declined,0,2026-04
TXN300235,2026-05-09,CUST10425,CARD20575,Lagos,Gold,Online,Travel,5692.21,Successful,1,2026-05
TXN300236,2026-01-11,CUST10112,CARD20534,Port Harcourt,Classic,Online,Retail,17049.42,Successful,1,2026-01
