card_id,customer_id,card_type,region,issue_date,activation_status,monthly_limit_ngn
CARD20211,CUST10265,Classic,Lagos,2025-03-18,Inactive,250000
CARD20212,CUST10229,Gold,Abuja,2025-12-04,Active,1000000
CARD20213,CUST10273,Gold,Port Harcourt,2025-10-02,Active,1000000
CARD20214,CUST10219,Classic,Abuja,2025-04-27,Active,1000000
CARD20215,CUST10225,Classic,Abuja,2025-10-19,Active,100000
CARD20216,CUST10113,Classic,Lagos,2025-09-28,Active,500000
CARD20217,CUST10140,Platinum,Lagos,2026-03-23,Active,500000
CARD20218,CUST10185,Gold,Lagos,2025-06-06,Active,100000
CARD20219,CUST10173,Classic,Lagos,2025-07-03,Inactive,250000
CARD20220,CUST10376,Classic,Abuja,2026-02-28,Active,1000000
CARD20221,CUST10011,Gold,Ibadan,2025-01-16,Inactive,1000000
CARD20222,CUST10397,Classic,Lagos,2025-04-08,Active,100000
CARD20223,CUST10159,Gold,Port Harcourt,2025-10-27,Active,1000000
CARD20224,CUST10205,Classic,Ibadan,2026-02-26,Active,2000000
CARD20225,CUST10230,Platinum,Lagos,2025-11-03,Active,500000
CARD20226,CUST10026,Gold,Kano,2025-10-01,Active,1000000
CARD20227,CUST10319,Classic,Lagos,2025-09-18,Active,1000000
CARD20228,CUST10159,Gold,Kano,2025-08-27,Active,2000000
CARD20229,CUST10278,Classic,Lagos,2025-11-28,Active,250000
CARD20230,CUST10390,Classic,Lagos,2025-04-25,Active,250000
CARD20231,CUST10148,Gold,Abuja,2025-09-25,Active,2000000
CARD20232,CUST10266,Classic,Kano,2025-01-12,Inactive,250000
CARD20233,CUST10083,Gold,Lagos,2025-03-14,Active,100000
CARD20234,CUST10419,Classic,Port Harcourt,2026-02-10,Active,2000000
CARD20235,CUST10026,Gold,Port Harcourt,2025-06-27,Active,500000
CARD20236,CUST10071,Classic,Lagos,2025-09-16,Active,500000
CARD20237,CUST10037,Gold,Abuja,2026-02-04,Active,500000
CARD20238,CUST10392,Classic,Abuja,2025-09-27,Active,1000000
CARD20239,CUST10133,Classic,Lagos,2026-05-01,Active,2000000
CARD20240,CUST10428,Classic,Port Harcourt,2025-02-28,Active,2000000
CARD20241,CUST10126,Classic,Kano,2025-09-23,Active,250000
CARD20242,CUST10115,Classic,Port Harcourt,2025-03-16,Active,2000000
CARD20243,CUST10092,Classic,Kano,2025-03-31,Active,2000000
CARD20244,CUST10242,Platinum,Lagos,2026-05-20,Active,250000
CARD20245,CUST10200,Classic,Lagos,2025-12-23,Inactive,2000000
CARD20246,CUST10207,Gold,Ibadan,2025-06-03,Active,2000000
CARD20247,CUST10117,Gold,Ibadan,2025-08-06,Inactive,100000
CARD20248,CUST10219,Classic,Lagos,2026-05-01,Active,250000
CARD20249,CUST10305,Gold,Lagos,2026-06-24,Active,100000
CARD20250,CUST10243,Platinum,Ibadan,2025-05-10,Active,1000000
CARD20251,CUST10292,Classic,Lagos,2025-03-07,Inactive,250000
CARD20252,CUST10282,Platinum,Lagos,2025-05-24,Active,2000000
CARD20253,CUST10301,Classic,Port Harcourt,2026-01-15,Active,2000000
CARD20254,CUST10317,Gold,Kano,2025-11-09,Active,100000
CARD20255,CUST10172,Classic,Ibadan,2026-02-11,Inactive,100000
CARD20256,CUST10388,Classic,Port Harcourt,2026-02-11,Active,1000000
CARD20257,CUST10076,Gold,Lagos,2025-10-04,Active,1000000
CARD20258,CUST10209,Classic,Port Harcourt,2026-02-13,Active,2000000
CARD20259,CUST10314,Classic,Lagos,2025-11-10,Active,500000
CARD20260,CUST10105,Classic,Kano,2025-09-06,Active,1000000
CARD20261,CUST10026,Gold,Abuja,2026-04-06,Active,2000000
CARD20262,CUST10351,Classic,Port Harcourt,2026-02-03,Active,1000000
CARD20263,CUST10079,Classic,Ibadan,2026-03-27,Active,250000
CARD20264,CUST10128,Classic,Lagos,2026-04-16,Active,100000
CARD20265,CUST10413,Gold,Kano,2026-03-10,Active,2000000
CARD20266,CUST10137,Gold,Lagos,2026-03-22,Active,1000000
CARD20267,CUST10334,Classic,Lagos,2025-04-13,Active,100000
CARD20268,CUST10036,Classic,Lagos,2025-11-24,Active,500000
CARD20269,CUST10388,Classic,Ibadan,2025-09-03,Active,1000000
CARD20270,CUST10059,Platinum,Ibadan,2025-02-27,Inactive,2000000
CARD20271,CUST10230,Gold,Lagos,2025-04-15,Active,250000
CARD20272,CUST10421,Classic,Lagos,2025-03-10,Active,100000
CARD20273,CUST10124,Gold,Kano,2025-10-29,Active,100000
CARD20274,CUST10088,Classic,Lagos,2025-06-02,Active,250000
CARD20275,CUST10337,Classic,Port Harcourt,2026-06-21,Active,2000000
CARD20276,CUST10141,Platinum,Abuja,2025-02-04,Active,500000
CARD20277,CUST10404,Platinum,Ibadan,2025-01-15,Active,250000
CARD20278,CUST10273,Gold,Abuja,2025-04-16,Active,500000
CARD20279,CUST10051,Classic,Abuja,2025-03-15,Active,2000000
CARD20280,CUST10055,Classic,Kano,2025-10-12,Active,1000000
CARD20281,CUST10417,Platinum,Lagos,2025-07-16,Inactive,1000000
CARD20282,CUST10405,Gold,Lagos,2025-10-07,Inactive,2000000
CARD20283,CUST10337,Classic,Lagos,2025-06-02,Active,500000
CARD20284,CUST10150,Classic,Kano,2025-10-18,Active,250000
CARD20285,CUST10153,Platinum,Port Harcourt,2025-05-22,Active,2000000
CARD20286,CUST10219,Platinum,Lagos,2025-11-08,Inactive,2000000
CARD20287,CUST10219,Gold,Port Harcourt,2025-02-01,Active,1000000
CARD20288,CUST10366,Gold,Lagos,2025-01-26,Active,250000
CARD20289,CUST10396,Classic,Kano,2025-09-12,Active,1000000
CARD20290,CUST10399,Gold,Lagos,2025-02-25,Active,500000
CARD20291,CUST10342,Gold,Port Harcourt,2025-10-20,Active,500000
CARD20292,CUST10258,Classic,Port Harcourt,2025-08-18,Active,100000
CARD20293,CUST10388,Gold,Lagos,2025-02-22,Inactive,2000000
CARD20294,CUST10045,Platinum,Ibadan,2025-04-11,Active,250000
CARD20295,CUST10269,Classic,Lagos,2026-04-12,Active,250000
CARD20296,CUST10311,Gold,Port Harcourt,2025-09-24,Active,1000000
CARD20297,CUST10160,Gold,Port Harcourt,2025-01-02,Active,1000000
CARD20298,CUST10278,Gold,Port Harcourt,2025-01-22,Active,250000
CARD20299,CUST10345,Gold,Lagos,2025-07-31,Active,1000000
CARD20300,CUST10055,Classic,Kano,2025-08-24,Inactive,100000
CARD20301,CUST10145,Gold,Lagos,2026-06-13,Active,2000000
CARD20302,CUST10235,Classic,Port Harcourt,2026-01-23,Active,100000
CARD20303,CUST10179,Gold,Ibadan,2025-01-14,Inactive,500000
CARD20304,CUST10208,Classic,Kano,2026-06-03,Inactive,250000
CARD20305,CUST10136,Classic,Abuja,2025-08-10,Active,100000
CARD20306,CUST10445,Classic,Lagos,2026-02-07,Active,100000
CARD20307,CUST10353,Classic,Ibadan,2026-05-28,Active,1000000
CARD20308,CUST10394,Classic,Lagos,2025-10-14,Active,1000000
CARD20309,CUST10275,Classic,Lagos,2026-01-19,Inactive,1000000
CARD20310,CUST10384,Gold,Kano,2025-09-04,Active,500000
CARD20311,CUST10398,Platinum,Abuja,2025-04-01,Active,100000
CARD20312,CUST10323,Platinum,Lagos,2025-11-08,Active,2000000
CARD20313,CUST10183,Platinum,Abuja,2026-03-13,Active,1000000
CARD20314,CUST10061,Gold,Lagos,2025-02-12,Inactive,500000
CARD20315,CUST10440,Classic,Lagos,2025-03-15,Inactive,500000
CARD20316,CUST10063,Gold,Lagos,2025-11-12,Active,1000000
CARD20317,CUST10361,Gold,Port Harcourt,2025-05-24,Inactive,250000
CARD20318,CUST10215,Classic,Port Harcourt,2025-11-25,Active,100000
CARD20319,CUST10360,Gold,Abuja,2025-07-28,Active,1000000
CARD20320,CUST10139,Classic,Lagos,2025-04-09,Active,2000000
CARD20321,CUST10431,Platinum,Port Harcourt,2025-04-24,Active,100000
CARD20322,CUST10134,Gold,Lagos,2025-06-24,Active,500000
CARD20323,CUST10034,Platinum,Abuja,2025-09-28,Active,2000000
CARD20324,CUST10193,Classic,Ibadan,2025-03-04,Active,100000
CARD20325,CUST10355,Classic,Abuja,2026-02-08,Active,2000000
CARD20326,CUST10320,Platinum,Port Harcourt,2025-08-13,Active,500000
CARD20327,CUST10087,Classic,Kano,2025-06-10,Inactive,1000000
CARD20328,CUST10210,Classic,Abuja,2025-02-05,Active,2000000
CARD20329,CUST10081,Gold,Abuja,2026-01-16,Active,1000000
CARD20330,CUST10322,Platinum,Abuja,2025-11-14,Active,500000
CARD20331,CUST10415,Classic,Lagos,2026-04-01,Active,500000
CARD20332,CUST10339,Classic,Port Harcourt,2025-09-26,Active,2000000
CARD20333,CUST10190,Classic,Port Harcourt,2025-12-10,Active,2000000
CARD20334,CUST10438,Classic,Lagos,2025-02-09,Active,500000
CARD20335,CUST10348,Classic,Lagos,2026-02-18,Active,2000000
CARD20336,CUST10233,Platinum,Kano,2026-01-15,Active,2000000
CARD20337,CUST10392,Gold,Abuja,2025-08-10,Inactive,2000000
CARD20338,CUST10426,Platinum,Lagos,2025-10-08,Active,2000000
CARD20339,CUST10169,Classic,Lagos,2025-08-13,Active,100000
CARD20340,CUST10443,Gold,Abuja,2026-04-02,Inactive,500000
CARD20341,CUST10251,Platinum,Lagos,2025-06-03,Inactive,500000
CARD20342,CUST10168,Gold,Lagos,2025-10-07,Active,250000
CARD20343,CUST10231,Classic,Ibadan,2025-12-19,Active,1000000
CARD20344,CUST10150,Platinum,Port Harcourt,2025-02-08,Inactive,250000
CARD20345,CUST10152,Classic,Lagos,2026-05-04,Active,2000000
CARD20346,CUST10038,Gold,Lagos,2025-07-17,Active,2000000
CARD20347,CUST10386,Classic,Abuja,2025-10-03,Active,100000
CARD20348,CUST10381,Gold,Lagos,2025-06-21,Active,100000
CARD20349,CUST10297,Platinum,Lagos,2026-05-23,Inactive,100000
CARD20350,CUST10275,Classic,Lagos,2026-02-09,Active,100000
CARD20351,CUST10105,Classic,Lagos,2025-09-28,Inactive,100000
CARD20352,CUST10386,Classic,Lagos,2025-05-11,Inactive,100000
CARD20353,CUST10348,Classic,Kano,2026-01-20,Inactive,100000
CARD20354,CUST10352,Classic,Lagos,2026-02-01,Active,100000
CARD20355,CUST10062,Gold,Lagos,2025-10-23,Inactive,100000
CARD20356,CUST10016,Classic,Lagos,2026-01-18,Active,500000
CARD20357,CUST10350,Classic,Abuja,2026-05-27,Active,100000
CARD20358,CUST10150,Classic,Ibadan,2026-01-30,Inactive,1000000
CARD20359,CUST10142,Classic,Lagos,2025-09-17,Active,100000
CARD20360,CUST10116,Gold,Ibadan,2025-10-08,Active,2000000
CARD20361,CUST10312,Gold,Lagos,2025-12-22,Active,2000000
CARD20362,CUST10065,Platinum,Ibadan,2026-02-24,Active,100000
CARD20363,CUST10429,Classic,Lagos,2025-07-11,Active,100000
CARD20364,CUST10310,Classic,Lagos,2026-03-04,Active,2000000
CARD20365,CUST10194,Classic,Lagos,2025-12-14,Active,1000000
CARD20366,CUST10342,Classic,Lagos,2026-03-05,Inactive,250000
CARD20367,CUST10430,Gold,Abuja,2026-01-27,Active,500000
CARD20368,CUST10161,Gold,Abuja,2025-12-07,Active,2000000
CARD20369,CUST10306,Classic,Port Harcourt,2026-02-06,Active,100000
CARD20370,CUST10361,Classic,Lagos,2025-02-16,Active,500000
CARD20371,CUST10278,Gold,Abuja,2026-03-01,Active,100000
CARD20372,CUST10296,Gold,Lagos,2026-06-01,Active,250000
CARD20373,CUST10039,Classic,Port Harcourt,2025-11-24,Inactive,250000
CARD20374,CUST10361,Gold,Lagos,2025-03-28,Active,2000000
CARD20375,CUST10169,Platinum,Lagos,2026-05-30,Inactive,500000
CARD20376,CUST10068,Classic,Abuja,2025-06-14,Active,500000
CARD20377,CUST10007,Classic,Ibadan,2025-08-11,Active,250000
CARD20378,CUST10085,Classic,Port Harcourt,2025-10-24,Active,100000
CARD20379,CUST10199,Gold,Lagos,2026-03-27,Active,2000000
CARD20380,CUST10132,Classic,Lagos,2025-12-09,Active,1000000
CARD20381,CUST10076,Platinum,Lagos,2025-12-07,Inactive,250000
CARD20382,CUST10250,Gold,Abuja,2026-04-06,Active,250000
CARD20383,CUST10347,Classic,Abuja,2026-01-27,Active,2000000
CARD20384,CUST10443,Classic,Lagos,2026-06-21,Active,100000
CARD20385,CUST10209,Gold,Lagos,2026-02-25,Active,500000
CARD20386,CUST10084,Classic,Abuja,2026-01-16,Active,250000
CARD20387,CUST10223,Platinum,Lagos,2025-01-05,Active,2000000
CARD20388,CUST10253,Classic,Lagos,2025-01-04,Inactive,2000000
CARD20389,CUST10410,Classic,Abuja,2025-11-12,Active,2000000
CARD20390,CUST10031,Gold,Lagos,2025-03-19,Active,500000
CARD20391,CUST10355,Classic,Ibadan,2026-06-15,Active,250000
CARD20392,CUST10201,Gold,Port Harcourt,2025-12-21,Active,2000000
